ID;type;RUIAN;name;partOf;latitude;longitude
102;4;554979;Abertamy;45;50.368857;12.81835
103;4;531367;Adamov;51;49.85787;15.408969
104;4;535826;Adamov;97;49.000597;14.539513
105;4;581291;Adamov;26;49.300526;16.658571
106;4;547786;Adršpach;60;50.618693;16.108665
107;4;598925;Albrechtice;46;49.786434;18.524478
108;4;547981;Albrechtice;94;49.927569;16.644752
109;4;576077;Albrechtice nad Orlicí;78;50.139824;16.064437
110;4;549258;Albrechtice nad Vltavou;73;49.253313;14.302851
111;4;563528;Albrechtice v Jizerských horách;40;50.762353;15.275813
112;4;568741;Albrechtičky;58;49.701682;18.095557
113;4;506761;Alojzov;72;49.423458;17.041509
114;4;538001;Andělská Hora;45;50.20449;12.962883
115;4;551929;Andělská Hora;29;50.06082;17.389148
116;4;573426;Anenská Studánka;94;49.849785;16.540277
117;4;586030;Archlebov;38;49.043608;17.004811
118;4;509388;Arneštovice;65;49.532554;15.117835
119;4;586854;Arnolec;42;49.436181;15.822048
120;4;562343;Arnoltice;35;50.837096;14.264056
121;4;554499;Aš;31;50.223996;12.195074
122;4;569828;Babice;39;50.192145;15.585586
123;4;537241;Babice;69;49.024844;14.237588
124;4;592013;Babice;88;49.121678;17.480754
125;4;538043;Babice;70;50.008055;14.715866
126;4;552356;Babice;61;49.737841;17.260903
127;4;590274;Babice;87;49.12428;15.768867
128;4;582794;Babice nad Svitavou;28;49.283327;16.696149
129;4;582808;Babice u Rosic;28;49.173011;16.358184
130;4;553433;Babylon;34;49.398765;12.862819
131;4;535427;Bakov nad Jizerou;55;50.482367;14.941581
132;4;595217;Baliny;100;49.33551;15.95665
133;4;563251;Balkova Lhota;86;49.452093;14.60825
134;4;593729;Bantice;92;48.883125;16.182391
135;4;572560;Banín;82;49.665642;16.461967
136;4;569836;Barchov;39;50.197648;15.567709
137;4;574724;Barchov;64;49.999358;15.680868
138;4;533173;Barchovice;49;49.944317;14.969162
139;4;548260;Bartoušov;37;49.58113;15.646902
140;4;599212;Bartošovice;58;49.668833;18.054644
141;4;576093;Bartošovice v Orlických horách;78;50.164008;16.547827
142;4;586862;Batelov;42;49.314309;15.39468
143;4;579041;Batňovice;85;50.517631;16.036727
144;4;550809;Bavorov;81;49.121932;14.078944
145;4;584304;Bavory;30;48.834718;16.622241
146;4;534421;Bavoryně;25;49.895889;13.961079
147;4;553701;Bačalky;44;50.385005;15.15351
148;4;576085;Bačetín;78;50.299812;16.233389
149;4;590282;Bačice;87;49.083919;16.027496
150;4;546194;Bačkov;37;49.732962;15.45911
151;4;544833;Bačkovice;87;48.967601;15.589163
152;4;588300;Bařice-Velké Těšany;50;49.245292;17.426129
153;4;598011;Baška;36;49.645829;18.372368
154;4;572667;Bašnice;44;50.334524;15.605105
155;4;538051;Bašť;70;50.205214;14.477375
156;4;566756;Bdeněves;68;49.769636;13.235236
157;4;565423;Bdín;76;50.214228;13.85882
158;4;564575;Bechlín;53;50.416226;14.341007
