KOD;NAZEV;OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Abertamy;554979;27.05.2020 00:00:00;;
6548;Adamov;579025;05.06.2015 00:00:00;;15.05.2001 00:00:00
35;Adamov;535826;04.10.2013 00:00:00;;
171476;Adamov;531367;04.10.2013 00:00:00;;
411540;Adamov;581291;04.10.2013 00:00:00;;
1759;Adolfovice;523917;07.10.2013 00:00:00;;
102911;Alberovice;530093;15.01.2014 00:00:00;;
78;Albeř;546798;30.01.2014 00:00:00;;
317926;Albeřice;555711;01.01.2016 00:00:00;;26.11.2015 00:00:00
142409;Albrechtice;596647;13.03.2014 00:00:00;;
124;Albrechtice;598925;29.05.2020 00:00:00;;
197858;Albrechtice;534188;05.06.2015 00:00:00;;01.01.2000 00:00:00
116;Albrechtice;547981;04.06.2020 00:00:00;;
159697;Albrechtice;557153;26.03.2014 00:00:00;;
119130;Albrechtice;564303;12.02.2014 00:00:00;;
86;Albrechtice;551015;11.11.2013 00:00:00;;
175;Albrechtice nad Orlicí;576077;02.06.2020 00:00:00;;
221;Albrechtice nad Vltavou;549258;27.05.2020 00:00:00;;
25984;Albrechtice u Frýdlantu;564028;12.11.2013 00:00:00;;
14982;Albrechtice u Rýmařova;597228;22.10.2013 00:00:00;;
281;Albrechtice v Jizerských horách;563528;16.06.2020 00:00:00;;
302;Albrechtičky;568741;04.10.2013 00:00:00;;
189103;Albrechtovice;550680;25.04.2014 00:00:00;;
318035;Aleje-Zátiší;554529;05.06.2015 00:00:00;;24.11.1990 00:00:00
61123;Alenina Lhota;552534;19.12.2013 00:00:00;;
55824;Alexovice;583120;19.12.2013 00:00:00;;
174700;Alojzov;506761;25.05.2020 00:00:00;;
119075;Alšovice;563749;12.02.2014 00:00:00;;
196070;Alžbětín;557528;29.04.2014 00:00:00;;
150509;Amalín;597813;21.03.2014 00:00:00;;
322385;Amerika;530905;05.06.2015 00:00:00;;01.10.2005 00:00:00
408166;Anděl Strážce;563579;20.04.2020 00:00:00;;
197891;Andělice;556106;07.11.2013 00:00:00;;
329;Andělka;564494;22.04.2014 00:00:00;;
53813;Andělská Hora;564117;24.10.2013 00:00:00;;
361;Andělská Hora;538001;17.02.2015 00:00:00;;
160415;Andělská Hora;551929;04.10.2013 00:00:00;;
370;Anenská Studánka;573426;04.10.2013 00:00:00;;
72231;Anenská Ves;560456;03.01.2014 00:00:00;;
32671;Annovice;560987;11.11.2013 00:00:00;;
26514;Annín;556076;04.11.2013 00:00:00;;
62596;Antonka;548111;19.12.2013 00:00:00;;
61514;Antonínov;563633;19.12.2013 00:00:00;;
414841;Antonínova Výšina;539074;05.06.2015 00:00:00;;24.11.1990 00:00:00
157902;Antonínův Důl;586846;05.06.2015 00:00:00;;01.08.1976 00:00:00
396;Antošovice;554821;05.06.2015 00:00:00;;01.01.2000 00:00:00
400;Archlebov;586030;12.05.2020 00:00:00;;
418;Arneštovice;509388;25.05.2020 00:00:00;;
115819;Arnoldov;555428;11.02.2014 00:00:00;;
426;Arnolec;586854;07.10.2013 00:00:00;;
50091;Arnoltice;597414;19.12.2013 00:00:00;;
16179;Arnoltice;563935;22.10.2013 00:00:00;;
434;Arnoltice;562343;09.06.2020 00:00:00;;
70424;Arnoltov;560294;22.10.2013 00:00:00;;
65528;Arnoštka;550647;16.04.2014 00:00:00;;
76325;Arnoštov;561673;09.01.2014 00:00:00;;
16098;Arnoštov;573299;11.02.2014 00:00:00;;
469;Arnoštovice;529702;13.11.2013 00:00:00;;
60321;Arnultovice;597449;02.01.2014 00:00:00;;
143383;Arnultovice;579645;14.03.2014 00:00:00;;
88382;Arnultovice;555223;15.04.2014 00:00:00;;
407062;Arnultovice;561860;03.02.2014 00:00:00;;
104965;Artolec;546798;30.01.2014 00:00:00;;
405507;Aš;554499;27.05.2020 00:00:00;;
400939;Baba;529303;08.10.2013 00:00:00;;
604;Babice;538043;22.05.2020 00:00:00;;
64572;Babice;557871;05.06.2015 00:00:00;;01.01.1999 00:00:00
55247;Babice;537241;26.05.2020 00:00:00;;
612;Babice;569828;12.05.2020 00:00:00;;
144932;Babice;538710;14.03.2014 00:00:00;;
16209;Babice;561312;22.10.2013 00:00:00;;
126632;Babice;555631;01.04.2014 00:00:00;;
639;Babice;590274;25.05.2020 00:00:00;;
655;Babice;592013;04.05.2020 00:00:00;;
663;Babice;552356;02.06.2020 00:00:00;;
680;Babice;542989;05.06.2015 00:00:00;;01.07.1990 00:00:00
401358;Babice;530344;05.02.2014 00:00:00;;
41378;Babice;553689;19.12.2013 00:00:00;;
109622;Babice;569186;05.02.2014 00:00:00;;
698;Babice nad Svitavou;582794;05.05.2020 00:00:00;;
701;Babice u Rosic;582808;05.05.2020 00:00:00;;
121509;Babina;559351;13.02.2014 00:00:00;;
41718;Babiny I;568104;05.06.2015 00:00:00;;01.01.1999 00:00:00
414905;Babiny II;567973;05.06.2015 00:00:00;;23.09.1991 00:00:00
51578;Babolky;581917;10.01.2014 00:00:00;;
710;Babylon;553433;27.05.2020 00:00:00;;
101290;Babí;573868;28.01.2014 00:00:00;;
591;Babí;579025;03.04.2014 00:00:00;;
165824;Babín;548936;01.04.2014 00:00:00;;
41874;Babín;556254;20.11.2013 00:00:00;;
30554;Babčice;553328;23.04.2014 00:00:00;;
415642;Babčice;530689;05.06.2015 00:00:00;;01.01.2002 00:00:00
410250;Bacov;573205;23.01.2014 00:00:00;;
20257;Bahno;534013;29.10.2013 00:00:00;;
158518;Bakov;574481;26.03.2014 00:00:00;;
3191;Bakov;532088;08.10.2013 00:00:00;;
402621;Bakov nad Jizerou;535427;07.10.2013 00:00:00;;
142484;Baldovec;589977;13.03.2014 00:00:00;;
841;Baliny;595217;07.10.2013 00:00:00;;
137928;Balkova Lhota;563251;07.10.2013 00:00:00;;
28339;Balkovy;556106;07.11.2013 00:00:00;;
167061;Balková;559482;01.04.2014 00:00:00;;
884;Bantice;593729;21.05.2020 00:00:00;;
850;Banín;572560;07.10.2013 00:00:00;;
892;Barchov;569836;07.10.2013 00:00:00;;
906;Barchov;574724;07.10.2013 00:00:00;;
914;Barchovice;533173;21.05.2020 00:00:00;;
949;Barchůvek;570397;21.01.2014 00:00:00;;
144941;Barochov;538710;14.03.2014 00:00:00;;
51381;Barovice;569020;14.01.2014 00:00:00;;
59633;Bartoušov;573001;02.01.2014 00:00:00;;
95737;Bartoušov;548260;07.10.2013 00:00:00;;
115088;Bartovice;554821;11.02.2014 00:00:00;;
957;Bartoňov;540978;14.03.2014 00:00:00;;
973;Bartošovice;599212;02.06.2020 00:00:00;;
981;Bartošovice v Orlických horách;576093;02.06.2020 00:00:00;;
187992;Bartultovice;597970;24.04.2014 00:00:00;;
401277;Barčov;530301;30.01.2014 00:00:00;;
1147;Batelov;586862;07.10.2013 00:00:00;;
6815;Batouchovice;590347;10.10.2013 00:00:00;;
157546;Batín;573540;25.03.2014 00:00:00;;
1155;Batňovice;579041;04.06.2020 00:00:00;;
1171;Bavorov;550809;19.06.2015 00:00:00;;
39586;Bavorovice;544485;14.11.2013 00:00:00;;
1201;Bavory;584304;07.10.2013 00:00:00;;
1210;Bavoryně;534421;07.10.2013 00:00:00;;
94994;Bačalky;553701;07.10.2013 00:00:00;;
744;Bačetín;576085;07.10.2013 00:00:00;;
761;Bačice;590282;25.05.2020 00:00:00;;
787;Bačkov;546194;19.06.2015 00:00:00;;
817;Bačkovice;544833;25.05.2020 00:00:00;;
825;Bačov;581372;15.10.2013 00:00:00;;
1040;Bařice;588300;26.05.2020 00:00:00;;
1066;Baška;598011;07.10.2013 00:00:00;;
1104;Bašnice;572667;14.05.2020 00:00:00;;
322121;Bašta;533700;05.06.2015 00:00:00;;01.01.1980 00:00:00
1121;Bašť;538051;22.05.2020 00:00:00;;
71978;Bdeněves;566756;25.05.2020 00:00:00;;
1228;Bdín;565423;07.10.2013 00:00:00;;
1473;Bechlín;564575;07.10.2013 00:00:00;;
1503;Bechov;535702;07.11.2013 00:00:00;;
405086;Bechyně;552054;07.10.2013 00:00:00;;
158828;Bechyňská Smoleč;553166;26.03.2014 00:00:00;;
1333;Bedihošť;589268;25.05.2020 00:00:00;;
53112;Bedlno;541834;29.12.2013 00:00:00;;
1341;Bednárec;562548;07.10.2013 00:00:00;;
1350;Bednáreček;561053;07.10.2013 00:00:00;;
2321;Bedrč;529303;08.10.2013 00:00:00;;
113123;Bedřichov;540544;11.02.2014 00:00:00;;
44156;Bedřichov;544515;26.11.2013 00:00:00;;
162965;Bedřichov;579742;01.04.2014 00:00:00;;
103403;Bedřichov;534226;30.01.2014 00:00:00;;
192937;Bedřichov;548511;11.02.2014 00:00:00;;
1376;Bedřichov;581313;07.10.2013 00:00:00;;
1368;Bedřichov;563536;07.10.2013 00:00:00;;
1384;Bedřichovice;583952;01.04.2014 00:00:00;;
49085;Bedřichovice;566195;19.12.2013 00:00:00;;
23361;Bedřichovice;529842;15.04.2014 00:00:00;;
2038;Bedřichův Světec;567051;08.10.2013 00:00:00;;
4979;Bendovo Záhoří;552704;23.01.2014 00:00:00;;
2135;Benecko;576981;08.10.2013 00:00:00;;
16268;Beneda;550159;22.10.2013 00:00:00;;
2569;Benetice;590304;25.05.2020 00:00:00;;
100170;Benetice;569569;26.03.2014 00:00:00;;
2364;Benešov;581330;16.02.2015 00:00:00;;
400947;Benešov;529303;08.10.2013 00:00:00;;
2356;Benešov;547760;29.10.2013 00:00:00;;
12815;Benešov;573922;22.10.2013 00:00:00;;
407577;Benešov nad Ploučnicí;562351;08.10.2013 00:00:00;;
2381;Benešov nad Černou;545406;08.10.2013 00:00:00;;
2470;Benešov u Semil;576999;08.10.2013 00:00:00;;
2518;Benešova Hora;550621;14.04.2014 00:00:00;;
9873;Benešovice;574791;17.10.2013 00:00:00;;
2534;Benešovice;560723;09.06.2020 00:00:00;;01.01.2002 00:00:00
135721;Benešovice;564532;24.04.2014 00:00:00;;
401781;Benice;532037;24.10.2013 00:00:00;;
2585;Benice;554782;05.06.2015 00:00:00;;01.07.1974 00:00:00
26638;Benkov;533688;04.11.2013 00:00:00;;
157457;Benkov;505587;14.04.2014 00:00:00;;
2593;Benkovice;507270;19.12.2013 00:00:00;;
2062;Benátecká Vrutice;537501;23.01.2014 00:00:00;;
175790;Benátky;534510;14.04.2014 00:00:00;;
46302;Benátky;547492;11.02.2014 00:00:00;;
60224;Benátky;595772;02.01.2014 00:00:00;;
2089;Benátky;569861;08.10.2013 00:00:00;;
195618;Benátky;569780;29.04.2014 00:00:00;;
2097;Benátky;577774;08.10.2013 00:00:00;;
402699;Benátky nad Jizerou I;535451;05.06.2015 00:00:00;;01.01.1982 00:00:00
402702;Benátky nad Jizerou II;535451;05.06.2015 00:00:00;;01.01.1982 00:00:00
402711;Benátky nad Jizerou III;535451;05.06.2015 00:00:00;;01.01.1982 00:00:00
2623;Beranov;555631;01.04.2014 00:00:00;;
58041;Beranova Lhota;552461;23.10.2013 00:00:00;;
158992;Beranovec;587982;26.03.2014 00:00:00;;
75965;Beranovka;555631;01.04.2014 00:00:00;;
183784;Bergov;541346;22.04.2014 00:00:00;;
2640;Bernardov;531111;08.10.2013 00:00:00;;
8214;Bernartice;556467;03.01.2014 00:00:00;;
2828;Bernartice;524891;04.06.2020 00:00:00;;
2755;Bernartice;579050;04.06.2020 00:00:00;;
2704;Bernartice;561207;25.03.2014 00:00:00;;
2666;Bernartice;549266;25.05.2020 00:00:00;;
2658;Bernartice;532568;14.05.2020 00:00:00;;
2852;Bernartice nad Odrou;568481;02.06.2020 00:00:00;;
102601;Bernov;555380;30.01.2014 00:00:00;;
322067;Bernov;560456;05.06.2015 00:00:00;;01.10.2000 00:00:00
154687;Beroun;555631;01.04.2014 00:00:00;;
401862;Beroun-Centrum;531057;08.06.2020 00:00:00;;01.01.1980 00:00:00
401897;Beroun-Hostim;531057;12.06.2020 00:00:00;;01.01.1980 00:00:00
401871;Beroun-Jarov;531057;08.06.2020 00:00:00;;01.01.1980 00:00:00
401901;Beroun-Město;531057;12.06.2020 00:00:00;;01.01.1980 00:00:00
401927;Beroun-Zavadilka;531057;12.06.2020 00:00:00;;01.01.1980 00:00:00
401889;Beroun-Zdejcina;531057;12.06.2020 00:00:00;;01.01.1980 00:00:00
401919;Beroun-Závodí;531057;12.06.2020 00:00:00;;01.01.1980 00:00:00
410331;Bertoldka;573256;01.04.2014 00:00:00;;
67253;Besedice;563641;03.01.2014 00:00:00;;
3212;Besednice;545414;08.10.2013 00:00:00;;
146056;Betlem;573442;19.03.2014 00:00:00;;
3697;Bezdružice;560740;09.06.2020 00:00:00;;
3441;Bezdědice;535443;07.10.2013 00:00:00;;
45870;Bezdědice;531201;19.12.2013 00:00:00;;
3450;Bezdědovice;598895;26.05.2020 00:00:00;;01.01.1993 00:00:00
101052;Bezděkov;549631;28.01.2014 00:00:00;;
88765;Bezděkov;548332;15.01.2014 00:00:00;;
3484;Bezděkov;555801;08.10.2013 00:00:00;;
3531;Bezděkov;557749;19.12.2013 00:00:00;;
3549;Bezděkov;566985;29.04.2014 00:00:00;;
3557;Bezděkov;568929;06.01.2014 00:00:00;;
3573;Bezděkov;574741;08.10.2013 00:00:00;;
3581;Bezděkov;596973;15.04.2014 00:00:00;;
3638;Bezděkov;548430;08.10.2013 00:00:00;;
185337;Bezděkov;530921;23.04.2014 00:00:00;;
132781;Bezděkov;555657;02.04.2014 00:00:00;;
8681;Bezděkov;500861;15.10.2013 00:00:00;;
118401;Bezděkov;587681;11.02.2014 00:00:00;;
186996;Bezděkov;530093;15.01.2014 00:00:00;;
170658;Bezděkov;561304;03.04.2014 00:00:00;;
24708;Bezděkov;560758;11.10.2013 00:00:00;;
136344;Bezděkov;541095;08.10.2013 00:00:00;;
197882;Bezděkov;557200;01.04.2014 00:00:00;;
3590;Bezděkov nad Metují;573884;08.10.2013 00:00:00;;
3603;Bezděkov pod Třemšínem;529672;08.10.2013 00:00:00;;
125296;Bezděkov u Úsova;541222;14.04.2014 00:00:00;;
