KOD;NAZEV;OBEC_KOD;MOP_KOD;SPRAVOBV_KOD;PORADI;PLATI_OD;PLATI_DO;DATUM_VZNIKU
551082;Brno-Bohunice;582786;;;1;31.05.2022 00:00:00;;24.11.1990 00:00:00
551325;Brno-Bosonohy;582786;;;2;25.08.2021 00:00:00;;24.11.1990 00:00:00
551198;Brno-Bystrc;582786;;;3;22.11.2021 00:00:00;;24.11.1990 00:00:00
551317;Brno-Chrlice;582786;;;5;01.08.2022 00:00:00;;24.11.1990 00:00:00
551376;Brno-Ivanovice;582786;;;6;18.08.2022 00:00:00;;24.11.1990 00:00:00
551406;Brno-Jehnice;582786;;;7;06.01.2022 00:00:00;;24.11.1990 00:00:00
551171;Brno-Jundrov;582786;;;9;08.06.2020 00:00:00;;24.11.1990 00:00:00
551210;Brno-Kníničky;582786;;;10;23.11.2021 00:00:00;;24.11.1990 00:00:00
551147;Brno-Kohoutovice;582786;;;11;08.06.2020 00:00:00;;24.11.1990 00:00:00
551228;Brno-Komín;582786;;;12;13.09.2021 00:00:00;;24.11.1990 00:00:00
551007;Brno-Královo Pole;582786;;;13;08.06.2020 00:00:00;;24.11.1990 00:00:00
551287;Brno-Líšeň;582786;;;14;21.07.2022 00:00:00;;24.11.1990 00:00:00
551252;Brno-Maloměřice a Obřany;582786;;;15;26.04.2021 00:00:00;;24.11.1990 00:00:00
551236;Brno-Medlánky;582786;;;16;08.06.2020 00:00:00;;24.11.1990 00:00:00
551112;Brno-Nový Lískovec;582786;;;17;06.01.2021 00:00:00;;24.11.1990 00:00:00
551422;Brno-Ořešín;582786;;;18;06.01.2022 00:00:00;;24.11.1990 00:00:00
551295;Brno-Slatina;582786;;;21;08.06.2020 00:00:00;;24.11.1990 00:00:00
551091;Brno-Starý Lískovec;582786;;;22;27.06.2022 00:00:00;;24.11.1990 00:00:00
551309;Brno-Tuřany;582786;;;24;06.01.2022 00:00:00;;24.11.1990 00:00:00
551279;Brno-Vinohrady;582786;;;26;08.06.2020 00:00:00;;24.11.1990 00:00:00
551074;Brno-jih;582786;;;8;08.08.2022 00:00:00;;24.11.1990 00:00:00
551031;Brno-sever;582786;;;20;08.06.2020 00:00:00;;24.11.1990 00:00:00
550973;Brno-střed;582786;;;23;08.06.2020 00:00:00;;24.11.1990 00:00:00
551431;Brno-Útěchov;582786;;;25;25.11.2021 00:00:00;;24.11.1990 00:00:00
551066;Brno-Černovice;582786;;;4;08.06.2020 00:00:00;;24.11.1990 00:00:00
551244;Brno-Řečkovice a Mokrá Hora;582786;;;19;08.06.2020 00:00:00;;24.11.1990 00:00:00
550990;Brno-Žabovřesky;582786;;;27;08.06.2020 00:00:00;;24.11.1990 00:00:00
551368;Brno-Žebětín;582786;;;28;13.01.2022 00:00:00;;24.11.1990 00:00:00
551058;Brno-Židenice;582786;;;29;08.06.2020 00:00:00;;24.11.1990 00:00:00
554332;Hošťálkovice;554821;;;1;10.09.2020 00:00:00;;24.11.1990 00:00:00
554669;Hrabová;554821;;;2;29.09.2022 00:00:00;;24.11.1990 00:00:00
555355;Komárov;505927;;;1;22.11.2021 00:00:00;;01.04.1996 00:00:00
554561;Krásné Pole;554821;;;3;02.08.2022 00:00:00;;24.11.1990 00:00:00
